bairro,cidade,bairro_latitude,bairro_longitude,classificação,1963,1973,1983,1993,2003,2009,2014,2019,2024
Maracanã,Rio de Janeiro,-22.9121619,-43.2311861,Zona Norte,1,0,1,0,0,1,2,2,1
Maré,Rio de Janeiro,-22.8592368,-43.2425729,Zona Norte,0,0,0,0,0,0,0,3,0
Méier,Rio de Janeiro,-22.901751,-43.280300,Zona Norte,0,0,1,0,0,1,0,0,1
Morada da Colina,Resende,-22.4872772,-44.4745955,Outras cidades,0,0,0,0,0,0,0,0,1
Mutondo,São Gonçalo,-22.8238000,-43.0183000,RMRJ,0,0,0,0,0,0,0,1,0
Olaria,Rio de Janeiro,-22.8484866,-43.2706124,Zona Norte,0,0,0,0,1,0,0,1,0
Padre Miguel,Rio de Janeiro,-22.8788135,-43.4485569,Zona Oeste,0,0,0,0,0,1,1,0,0
Pavuna,Rio de Janeiro,-22.8121927,-43.3592811,Zona Norte,0,0,0,0,0,1,0,0,1
Pechincha,Rio de Janeiro,-22.9289880,-43.3534191,Zona Oeste,0,0,0,0,0,0,0,0,1
Penha Circular,Rio de Janeiro,-22.8326425,-43.2842228,Zona Norte,1,0,0,0,0,0,0,0,0
Piedade,Rio de Janeiro,-22.8926665,-43.3110001,Zona Norte,0,0,0,0,0,0,0,1,0
Pilares,Rio de Janeiro,-22.8790904,-43.2955477,Zona Norte,0,0,0,0,1,1,0,0,0
Porto da Pedra,São Gonçalo,-22.8209000,-43.0651000,RMRJ,0,0,0,0,1,0,0,0,0
Portuguesa,Rio de Janeiro,-22.7999597,-43.2068169,Zona Norte,0,0,0,0,0,1,0,0,0
Realengo,Rio de Janeiro,-22.8772743,-43.4301032,Zona Oeste,0,0,0,0,0,1,1,0,1
Recreio dos Bandeirantes,Rio de Janeiro,-23.0185151,-43.4634021,Zona Oeste,0,0,0,0,0,1,0,1,1
Riachuelo,Rio de Janeiro,-22.8964587,-43.2568411,Zona Norte,1,0,0,0,0,0,0,0,0
Rio Comprido,Rio de Janeiro,-22.9279449,-43.2088566,Zona Norte,1,0,0,0,0,1,0,1,0
Rosa dos Ventos,Nova Iguaçu,-22.7448035,-43.5010844,RMRJ,0,0,0,0,1,0,0,0,0
Santa Cruz,Rio de Janeiro,-22.9176248,-43.6834907,Zona Oeste,0,0,0,0,0,0,0,1,1
Santa Lúcia,Vitória,-20.3028247,-40.3006106,Outras cidades,0,0,0,0,0,0,1,0,0
Santa Rosa,Niterói,-22.8991000,-43.0957000,RMRJ,0,0,0,1,0,0,0,0,0
Santa Teresa,Rio de Janeiro,-22.9215542,-43.1860269,Centro,0,0,0,1,0,0,1,0,1
São Cristóvão,Rio de Janeiro,-22.8993180,-43.2219346,Zona Norte,0,0,0,0,0,1,1,0,2
São Francisco de Assis,Belfod Roxo,-22.7255152,-43.4080701,RMRJ,0,0,0,0,0,1,0,0,0
São Francisco,Niterói,-22.9181000,-43.0864000,RMRJ,0,0,0,2,0,0,0,0,0
Sepetiba,Rio de Janeiro,-22.9679803,-43.6940872,Zona Oeste,0,0,0,0,0,0,1,0,0
Taquara,Rio de Janeiro,-22.9218864,-43.3846460,Zona Oeste,0,0,0,0,0,0,1,0,2
Tijuca,Rio de Janeiro,-22.9247351,-43.2327165,Zona Norte,2,1,6,7,1,0,0,3,3
Todos os Santos,Rio de Janeiro,-22.895244,-43.282975,Zona Norte,0,0,0,0,0,0,1,0,0
Trindade,São Gonçalo,-22.8065000,-43.0149000,RMRJ,0,0,0,0,0,0,0,1,0
Urca,Rio de Janeiro,-22.9540740,-43.1679727,Zona Sul,0,0,0,1,0,0,0,0,0
Vigário Geral,Rio de Janeiro,-22.8095333,-43.3097039,Zona Norte,0,0,0,0,0,0,0,0,1
Vila Formosa,Nova Iguaçu,-22.695670,-43.457850,RMRJ,0,0,0,0,0,0,0,0,1
Vila Isabel,Rio de Janeiro,-22.9166993,-43.2508354,Zona Norte,0,1,0,0,0,1,0,1,0
TOTAL,,,,,30,30,30,35,16,35,39,40,40
